Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A913892,"3201 BURLESON RD
AUSTIN 78741
(30.219942005, -97.733482038)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Brown Tabby,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913892
A913901,"6204 RICHARDSON LN
AUSTIN 78741
(30.236640483, -97.696963621)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Brown Tabby,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913901
A913893,"8600 RESEARCH BOULEVARD
AUSTIN 78757
(30.361611005, -97.718320013)",Yes (come to the shelter),09/23/2024,Cat,Snowshoe,Chocolate Point/White,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913893
A913932,"5408 ATASCOSA DR
AUSTIN 78758
(30.19193, -97.74041)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Orange Tabby,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913932
A913936,"5408 ATASCOSA DR
AUSTIN 78758
(30.19193, -97.74041)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Orange Tabby,Intact Female,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913936
A913918,"900 BLACKSON AVE
AUSTIN 78752
(30.33404, -97.69971)",No (contact for more info),09/23/2024,Cat,Domestic Shorthair,Black/White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913918
A913921,"6400 SOUTH CONGRESS AVENUE
AUSTIN 78745
(30.19711, -97.77769)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Orange Tabby/White,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913921
A913931,"5408 ATASCOSA DR
AUSTIN 78758
(30.19193, -97.74041)",Yes (come to the shelter),09/23/2024,Cat,Domestic Medium Hair,Torbie,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A913931
A913933,"5408 ATASCOSA DR
AUSTIN 78758
(30.19193, -97.74041)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Tortie,Intact Female,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913933
A913934,"5408 ATASCOSA DR
AUSTIN 78758
(30.19193, -97.74041)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Orange Tabby,Intact Male,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913934
A913935,"5408 ATASCOSA DR
AUSTIN 78758
(30.19193, -97.74041)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Orange Tabby,Intact Male,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913935
A913937,"5408 ATASCOSA DR
AUSTIN 78758
(30.19193, -97.74041)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Torbie,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913937
A913938,"5408 ATASCOSA DR
AUSTIN 78758
(30.19193, -97.74041)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913938
A913922,"12101 SALEM HOUSE WAY
AUSTIN 78753
(30.38836, -97.66271)",Yes (come to the shelter),09/23/2024,Cat,Domestic Medium Hair,Orange Tabby/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A913922
A913924,"12101 SALEM HOUSE WAY
AUSTIN 78753
(30.38836, -97.66271)",Yes (come to the shelter),09/23/2024,Cat,Domestic Medium Hair,Orange Tabby/White,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913924
A913925,"12101 SALEM HOUSE WAY
AUSTIN 78753
(30.38836, -97.66271)",Yes (come to the shelter),09/23/2024,Cat,Domestic Medium Hair,Orange Tabby,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913925
A913926,"12101 SALEM HOUSE WAY
AUSTIN 78753
(30.38836, -97.66271)",Yes (come to the shelter),09/23/2024,Cat,Domestic Medium Hair,Calico,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913926
